,times,model_predictions,errors,controller_outputs,noisy_values,true_values,T2_values
294,31.361511454848387,-5.058388545151615,-15.18928692060711,36.4199,36.4199,294.0,23.5279
295,31.31864108307176,-5.101258916928238,-15.204949458798175,36.4199,36.4199,295.0,23.5279
296,31.275640340496402,-5.1442596595035965,-15.343719562746315,36.4199,36.4199,296.0,23.5279
297,31.241253516458293,-5.178646483541705,-15.480133425582927,36.4199,36.4199,297.0,23.5279
298,31.206217023551737,-5.213682976448261,-15.502517495490274,36.4199,36.4199,298.0,23.5279
299,31.17054989043915,-5.249350109560844,-15.534949339042804,36.4199,36.4199,299.0,23.5279
300,31.134276736494904,-5.285623263505094,-15.576680858776939,36.4199,36.4199,300.0,23.5279
301,31.097433312735994,-5.322466687264004,-15.626932600764498,36.4199,36.4199,301.0,23.5279
302,31.060058241103437,-5.3598417588965575,-15.684824166014259,36.4199,36.4199,302.0,23.5279
303,31.022186586756174,-5.397713413243821,-15.749484514097183,36.4199,36.4199,303.0,23.5279
304,30.983851083328453,-5.436048916671545,-15.820133384182832,36.4199,36.4199,304.0,23.5279
305,30.94532174736605,-5.474578252633947,-15.896060865564692,36.4199,36.4199,305.0,23.5279
306,30.90707735506427,-5.512822644935731,-15.97355963089845,36.4199,36.4199,306.0,23.5279
307,30.869302742140988,-5.55059725785901,-16.046436474250918,36.4199,36.4199,307.0,23.5279
308,30.83192124953557,-5.58797875046443,-16.112561232692507,36.4199,36.4199,308.0,23.5279
309,30.794862549880783,-5.6250374501192155,-16.173250491793738,36.4199,36.4199,309.0,23.5279
310,30.758063259557513,-5.661836740442489,-16.229672993451054,36.4199,36.4199,310.0,23.5279
311,30.72146698365728,-5.698433016342719,-16.282849517248692,36.4199,36.0976,311.0,23.5279
312,30.684784218904422,-5.412815781095574,-16.333659966837843,36.0976,36.0976,312.0,23.5279
313,30.647758699350113,-5.4498413006498865,-12.264549746363905,36.0976,36.4199,313.0,23.5279
314,30.610640801336604,-5.809259198663391,-12.523655511117461,36.4199,36.0976,314.0,23.5279
315,30.573652270467278,-5.523947729532722,-16.894059996294637,36.0976,36.0976,315.0,23.5279
316,30.53675105099758,-5.56084894900242,-12.807194055562618,36.0976,36.0976,316.0,23.5279
317,30.499898618984666,-5.597701381015334,-13.04406311483897,36.0976,36.0976,317.0,23.5279
318,30.463060240764687,-5.6345397592353095,-13.270285995920595,36.0976,36.4199,318.0,23.5279
319,30.42620514259013,-5.671394857409865,-13.48689730729312,36.0976,36.4199,319.0,23.5279
320,30.38930627093973,-5.708293729060273,-13.694826247687487,36.0976,36.0976,320.0,23.5279
321,30.352339924778754,-6.067560075221245,-13.894905214920598,36.4199,36.0976,321.0,23.5279
